"k","nonreference_variant_denominator","PAC_failure_n","PAC_failure_fraction","silhouette_failure_n","silhouette_failure_fraction","within_best_failure_n","within_best_failure_fraction","minimum_size_failure_n","minimum_size_failure_fraction","cluster_jaccard_failure_n","cluster_jaccard_failure_fraction","overall_jaccard_failure_n","overall_jaccard_failure_fraction","zero_failure_variants","one_failure_variants","two_failure_variants","three_or_more_failure_variants","criteria_failed_by_all_14","leave_one_out_failure_structure","alternative_distance_failure_structure","notes"
2,14,14,1,9,0.642857142857143,2,0.142857142857143,0,0,10,0.714285714285714,14,1,0,0,1,13,"PAC_rank;overall_median_jaccard","PAC_rank=6/6;mean_silhouette=2/6;within_0_02_of_best=0/6;minimum_cluster_size=0/6;minimum_cluster_median_jaccard=4/6;overall_median_jaccard=6/6","PAC_rank=2/2;mean_silhouette=2/2;within_0_02_of_best=2/2;minimum_cluster_size=0/2;minimum_cluster_median_jaccard=2/2;overall_median_jaccard=2/2","Primary is excluded; denominator is exactly 14 nonreference variants."
3,14,14,1,14,1,11,0.785714285714286,3,0.214285714285714,14,1,14,1,0,0,0,14,"PAC_rank;mean_silhouette;minimum_cluster_median_jaccard;overall_median_jaccard","PAC_rank=6/6;mean_silhouette=6/6;within_0_02_of_best=6/6;minimum_cluster_size=1/6;minimum_cluster_median_jaccard=6/6;overall_median_jaccard=6/6","PAC_rank=2/2;mean_silhouette=2/2;within_0_02_of_best=1/2;minimum_cluster_size=0/2;minimum_cluster_median_jaccard=2/2;overall_median_jaccard=2/2","Primary is excluded; denominator is exactly 14 nonreference variants."
4,14,14,1,14,1,11,0.785714285714286,6,0.428571428571429,14,1,14,1,0,0,0,14,"PAC_rank;mean_silhouette;minimum_cluster_median_jaccard;overall_median_jaccard","PAC_rank=6/6;mean_silhouette=6/6;within_0_02_of_best=6/6;minimum_cluster_size=2/6;minimum_cluster_median_jaccard=6/6;overall_median_jaccard=6/6","PAC_rank=2/2;mean_silhouette=2/2;within_0_02_of_best=0/2;minimum_cluster_size=1/2;minimum_cluster_median_jaccard=2/2;overall_median_jaccard=2/2","Primary is excluded; denominator is exactly 14 nonreference variants."
5,14,0,0,14,1,12,0.857142857142857,10,0.714285714285714,14,1,14,1,0,0,0,14,"mean_silhouette;minimum_cluster_median_jaccard;overall_median_jaccard","PAC_rank=0/6;mean_silhouette=6/6;within_0_02_of_best=6/6;minimum_cluster_size=4/6;minimum_cluster_median_jaccard=6/6;overall_median_jaccard=6/6","PAC_rank=0/2;mean_silhouette=2/2;within_0_02_of_best=0/2;minimum_cluster_size=2/2;minimum_cluster_median_jaccard=2/2;overall_median_jaccard=2/2","Primary is excluded; denominator is exactly 14 nonreference variants."
6,14,0,0,14,1,13,0.928571428571429,11,0.785714285714286,14,1,14,1,0,0,0,14,"mean_silhouette;minimum_cluster_median_jaccard;overall_median_jaccard","PAC_rank=0/6;mean_silhouette=6/6;within_0_02_of_best=6/6;minimum_cluster_size=4/6;minimum_cluster_median_jaccard=6/6;overall_median_jaccard=6/6","PAC_rank=0/2;mean_silhouette=2/2;within_0_02_of_best=1/2;minimum_cluster_size=2/2;minimum_cluster_median_jaccard=2/2;overall_median_jaccard=2/2","Primary is excluded; denominator is exactly 14 nonreference variants."
