"sample","Macrophage-rich program","T cell-inflamed program","Immune-inflamed / antigen-presentation program","Stromal / fibrotic program","Immune-cold / exclusion-associated program","Proliferative / cycling program"
"GSM775979",-1.20661946377584,-0.261693673304998,-0.0919896922184922,-0.190535025118243,0.185579082234815,0.0809516460901553
"GSM775980",0.951694467989022,1.1820407831892,0.877868567855713,-0.0401850141136166,0.475842227975142,0.695713139775626
"GSM775981",-0.33605367232261,-0.360452175987598,-0.214612377356703,-0.586418466396791,0.0678058565518722,-2.04556816973353
"GSM775982",0.553800291779283,0.999173136096764,0.993512244392071,0.797948982955431,0.220289802973048,0.209635801901191
"GSM775983",0.254808193377708,-0.165418963064201,0.265314774181262,0.0413364904499283,0.49765299871672,0.771555173375257
"GSM775984",0.159836540253668,-1.29061352580755,-0.178000649948417,0.757945421499223,1.33174267877744,-1.14832565472964
"GSM775985",-1.63037069817087,-2.06007023669892,-0.462202899613576,-0.679091270131238,-0.959771332981724,-0.303926820231603
"GSM775986",0.143494940871929,-0.626687951717156,0.336328747397356,-0.864084921294496,-0.802826823574163,1.22327093557225
"GSM775987",-1.00711591477797,-1.28350414853084,-0.469385453578744,-0.730604303791371,-0.207752771523159,-0.766007019306847
"GSM775988",0.961584960640974,0.138575543158651,-0.0532927475508934,-0.487511289878758,-0.184035176439494,0.523890576676242
"GSM775989",-1.94136067142589,-1.67649607601421,-1.56954365872728,-0.329579145357723,-0.383390374308273,-1.06664329640577
"GSM775990",1.26210257270558,0.9390337050485,0.859111748339951,-1.21091087229911,0.0714212125836331,0.420441148667448
"GSM775991",-0.806024081996199,-1.11589997919428,-0.200197423410414,-1.16819657282559,-0.639278399566136,-2.18870122913136
"GSM775992",-1.85165794183576,-1.53603716158704,-2.12934132559152,-3.33639453798931,-2.99978062992257,-0.815983667723806
"GSM775993",-0.612096886994546,-0.668481624478818,-1.1258763590868,0.105632710701206,1.29373557819093,-1.31872979702405
