"PC","explained_variance","cumulative_variance"
"PC1",0.485840112695683,0.485840112695683
"PC2",0.207660210739324,0.693500323435007
"PC3",0.167154462881965,0.860654786316972
"PC4",0.0757302981803775,0.93638508449735
"PC5",0.039662041945896,0.976047126443246
"PC6",0.0239528735567541,1
