"sample","PC1","PC2","PC3","PC4","PC5","PC6"
"GSM775979",-0.69870964141047,0.227421650863025,-0.270167098400045,0.970035326304948,0.0545995892969683,0.230904509006603
"GSM775980",1.58548596317309,-1.05479013450764,-0.0711915931287045,-0.124081248219331,-0.195006118652085,0.317511696501754
"GSM775981",-0.678449354312662,0.920115104812795,1.73271441364589,0.213063227950383,0.678300055434168,0.0840132565520866
"GSM775982",1.57614381770992,-0.414508341607482,-0.0133252448534203,0.213666957813029,-0.251330332534494,-0.506222360757334
"GSM775983",0.451511535434375,-0.185298134598336,-0.765810475186028,-0.0887538210945425,0.20704571199568,0.363233064923646
"GSM775984",0.34278496511319,2.06510620310531,0.081242438697655,-0.153622048711306,0.954063787455238,0.258812513410768
"GSM775985",-2.57739820940118,0.55305397607003,-0.397217175942717,0.492914869216972,1.0381202390615,-0.403777880345965
"GSM775986",-0.723697735227182,-1.26908387597653,-0.893905057398503,-0.422684383456701,0.549256388547508,-0.0169658075564898
"GSM775987",-1.64434025536962,0.680453227878927,0.293336710535854,0.334827596941456,0.806969723669585,0.171671588933143
"GSM775988",0.21457219253295,-0.734333315377464,-0.101009941383726,-0.897702854201103,0.00331008533604521,0.302184466253542
"GSM775989",-2.69507853389838,1.64708112237431,0.191335462463646,0.618624786959397,0.191903813952303,0.0621986529411319
"GSM775990",0.950018373684329,-1.66533916181592,0.524954940498163,-0.576873128519875,0.356382257876455,0.670581125016488
"GSM775991",-1.77973714449684,0.720499234007466,1.77645532273452,0.264240725159201,1.24635969517325,-0.182063598817168
"GSM775992",-5.29085248048855,-1.06006797211585,1.32927876826767,-0.327816387951111,0.278517124318693,0.222040470802522
"GSM775993",-0.484757917059984,1.9870935835562,0.602337687794068,0.289796451452901,0.103930937681951,0.933788353701842
"GSM775994",0.355016992948909,1.10806450547124,-0.622198036310488,0.439355082433778,-0.859875252633733,0.187182321088428
"GSM775995",2.8769091232891,-0.253868150231997,1.55843775466373,-0.402672409540139,0.0659613418020831,0.224138904160626
"GSM775996",-1.78965752923456,1.8337036127479,1.7463392243814,1.16324568673532,-0.611728059495465,-0.116216367523552
"GSM775997",1.63804981985043,0.176283549648133,-0.306459453904226,-0.500252006199509,0.0587359406752783,0.010503092981358
"GSM775998",-0.436442147122024,-0.52338299225613,1.50928095366123,0.599726169250101,0.548525271892222,0.20218070190831
"GSM775999",1.56079979085744,-0.379508573906693,0.898204923312847,-0.251479624028497,-0.190608691989185,0.237799411993214
