"program","PC1","PC2","PC3","PC4","PC5","PC6"
"Macrophage-rich program",0.463830883100107,-0.123161109741791,0.114218599175708,-0.862250400571043,0.111055996090689,0.0289340107739278
"T cell-inflamed program",0.42090360364662,-0.395069911450611,0.391748482239192,0.251981594960217,-0.665074530923133,0.0864534110701509
"Immune-inflamed / antigen-presentation program",0.471770695029303,-0.380479602692528,-0.00931283401807328,0.375449954293894,0.618386625295739,-0.330478846289922
"Stromal / fibrotic program",0.399409956374585,0.536410502562662,-0.318511065717652,0.0353831835495414,-0.316931875435625,-0.591259991170963
"Immune-cold / exclusion-associated program",0.47383078308842,0.430181039266434,-0.123060916744181,0.219998442047831,0.147585182455999,0.710706671306457
"Proliferative / cycling program",0.0330084137471109,-0.459558945342855,-0.846644684134772,-0.0491484501843227,-0.20177516189391,0.166673372470711
