"program","Macrophage-rich program","T cell-inflamed program","Immune-inflamed / antigen-presentation program","Stromal / fibrotic program","Immune-cold / exclusion-associated program","Proliferative / cycling program"
"Macrophage-rich program",1,0.558657449484596,0.563064564943475,0.396538472940829,0.481212320933309,0.0327821909628426
"T cell-inflamed program",0.558657449484596,1,0.70347828977777,0.14773689621505,0.331925224365996,-0.0375502558118415
"Immune-inflamed / antigen-presentation program",0.563064564943475,0.70347828977777,1,0.285442640411261,0.47433752610225,0.225167898551177
"Stromal / fibrotic program",0.396538472940829,0.14773689621505,0.285442640411261,1,0.810514705563698,0.00200677109840344
"Immune-cold / exclusion-associated program",0.481212320933309,0.331925224365996,0.47433752610225,0.810514705563698,1,-0.0912077507637832
"Proliferative / cycling program",0.0327821909628426,-0.0375502558118415,0.225167898551177,0.00200677109840344,-0.0912077507637832,1
