"program","Macrophage-rich program","T cell-inflamed program","Immune-inflamed / antigen-presentation program","Stromal / fibrotic program","Immune-cold / exclusion-associated program","Proliferative / cycling program"
"Macrophage-rich program",1,0.513520137843867,0.463257503966519,0.518350180062825,0.597190884997726,-0.267895384694681
"T cell-inflamed program",0.513520137843867,1,0.754674820087195,0.10342212399151,0.371293284840683,-0.308728154393621
"Immune-inflamed / antigen-presentation program",0.463257503966519,0.754674820087195,1,0.0911724475315477,0.399713052780206,-0.212882613236265
"Stromal / fibrotic program",0.518350180062825,0.10342212399151,0.0911724475315477,1,0.705275245617568,-0.226570834016252
"Immune-cold / exclusion-associated program",0.597190884997726,0.371293284840683,0.399713052780206,0.705275245617568,1,-0.271599831223678
"Proliferative / cycling program",-0.267895384694681,-0.308728154393621,-0.212882613236265,-0.226570834016252,-0.271599831223678,1
