"program","Macrophage-rich program","T cell-inflamed program","Immune-inflamed / antigen-presentation program","Stromal / fibrotic program","Immune-cold / exclusion-associated program","Proliferative / cycling program"
"Macrophage-rich program",1,0.551128539443235,0.563210234540425,0.423467092063916,0.573035872417236,-0.16045609108552
"T cell-inflamed program",0.551128539443235,1,0.673334338730396,0.123177875708932,0.343774553431632,-0.218129617011387
"Immune-inflamed / antigen-presentation program",0.563210234540425,0.673334338730396,1,0.253076438444571,0.404928601210959,0.0523478715678626
"Stromal / fibrotic program",0.423467092063916,0.123177875708932,0.253076438444571,1,0.858494269489165,-0.191988204719811
"Immune-cold / exclusion-associated program",0.573035872417236,0.343774553431632,0.404928601210959,0.858494269489165,1,-0.241268666767127
"Proliferative / cycling program",-0.16045609108552,-0.218129617011387,0.0523478715678626,-0.191988204719811,-0.241268666767127,1
