"sample","geo_accession","COO_raw","COO_clean"
"GSM776395","GSM776395","ABC","ABC"
"GSM776396","GSM776396","GCB","GCB"
"GSM776397","GSM776397","UC","UC"
"GSM776398","GSM776398","ABC","ABC"
"GSM776399","GSM776399","ABC","ABC"
"GSM776400","GSM776400","GCB","GCB"
"GSM776401","GSM776401","ABC","ABC"
"GSM776402","GSM776402","ABC","ABC"
"GSM776403","GSM776403","GCB","GCB"
"GSM776404","GSM776404","GCB","GCB"
"GSM776405","GSM776405","GCB","GCB"
"GSM776406","GSM776406","ABC","ABC"
"GSM776407","GSM776407","ABC","ABC"
"GSM776408","GSM776408","ABC","ABC"
"GSM776409","GSM776409","GCB","GCB"
"GSM776410","GSM776410","ABC","ABC"
"GSM776411","GSM776411","ABC","ABC"
"GSM776412","GSM776412","ABC","ABC"
"GSM776413","GSM776413","ABC","ABC"
"GSM776414","GSM776414","GCB","GCB"
"GSM776415","GSM776415","GCB","GCB"
"GSM776416","GSM776416","ABC","ABC"
"GSM776417","GSM776417","ABC","ABC"
"GSM776418","GSM776418","ABC","ABC"
"GSM776419","GSM776419","GCB","GCB"
"GSM776420","GSM776420","ABC","ABC"
"GSM776421","GSM776421","GCB","GCB"
"GSM776422","GSM776422","ABC","ABC"
"GSM776423","GSM776423","GCB","GCB"
"GSM776424","GSM776424","ABC","ABC"
"GSM776425","GSM776425","UC","UC"
"GSM776426","GSM776426","GCB","GCB"
"GSM776427","GSM776427","GCB","GCB"
"GSM776428","GSM776428","GCB","GCB"
"GSM776429","GSM776429","GCB","GCB"
"GSM776430","GSM776430","GCB","GCB"
"GSM776431","GSM776431","GCB","GCB"
"GSM776432","GSM776432","GCB","GCB"
"GSM776433","GSM776433","ABC","ABC"
"GSM776434","GSM776434","GCB","GCB"
"GSM776435","GSM776435","ABC","ABC"
"GSM776436","GSM776436","GCB","GCB"
"GSM776437","GSM776437","GCB","GCB"
"GSM776438","GSM776438","UC","UC"
"GSM776439","GSM776439","ABC","ABC"
"GSM776440","GSM776440","GCB","GCB"
"GSM776441","GSM776441","ABC","ABC"
"GSM776442","GSM776442","ABC","ABC"
"GSM776443","GSM776443","GCB","GCB"
"GSM776444","GSM776444","GCB","GCB"
"GSM776445","GSM776445","GCB","GCB"
"GSM776446","GSM776446","GCB","GCB"
"GSM776447","GSM776447","ABC","ABC"
"GSM776448","GSM776448","ABC","ABC"
"GSM776449","GSM776449","GCB","GCB"
"GSM776450","GSM776450","ABC","ABC"
"GSM776451","GSM776451","ABC","ABC"
"GSM776452","GSM776452","GCB","GCB"
"GSM776453","GSM776453","GCB","GCB"
"GSM776454","GSM776454","ABC","ABC"
"GSM776455","GSM776455","UC","UC"
"GSM776456","GSM776456","UC","UC"
"GSM776457","GSM776457","ABC","ABC"
"GSM776458","GSM776458","GCB","GCB"
"GSM776459","GSM776459","ABC","ABC"
"GSM776460","GSM776460","GCB","GCB"
"GSM776461","GSM776461","GCB","GCB"
"GSM776462","GSM776462","ABC","ABC"
"GSM776463","GSM776463","ABC","ABC"
"GSM776464","GSM776464","ABC","ABC"
"GSM776465","GSM776465","UC","UC"
"GSM776466","GSM776466","ABC","ABC"
"GSM776467","GSM776467","ABC","ABC"
"GSM776468","GSM776468","ABC","ABC"
"GSM776469","GSM776469","GCB","GCB"
"GSM776470","GSM776470","GCB","GCB"
"GSM776471","GSM776471","ABC","ABC"
"GSM776472","GSM776472","ABC","ABC"
"GSM776473","GSM776473","ABC","ABC"
"GSM776474","GSM776474","GCB","GCB"
"GSM776475","GSM776475","UC","UC"
"GSM776476","GSM776476","ABC","ABC"
