program,program_name,program_order,CellType,celltype_order,n_cells,mean_raw_ucell,mean_display_z,pooled_program_q75,n_above_q75,fraction_above_q75
macrophage_rich,Macrophage-rich program,1,B cells,1,3436,0.0348511427772374,-0.0564813349153263,0.040034201606254,1304,0.379511059371362
macrophage_rich,Macrophage-rich program,1,Plasma cells,2,102,0.0770670805348432,0.411108713913253,0.040034201606254,83,0.813725490196078
macrophage_rich,Macrophage-rich program,1,T cells CD4,3,3254,0.0123682161100669,-0.305505597706163,0.040034201606254,218,0.0669944683466503
macrophage_rich,Macrophage-rich program,1,T cells CD8,4,5483,0.0228477407475295,-0.189432813416334,0.040034201606254,1099,0.200437716578515
macrophage_rich,Macrophage-rich program,1,Tregs,5,972,0.0125688012636096,-0.303283886506051,0.040034201606254,62,0.0637860082304527
macrophage_rich,Macrophage-rich program,1,TFH,6,295,0.0119403873456127,-0.310244293172554,0.040034201606254,27,0.0915254237288136
macrophage_rich,Macrophage-rich program,1,NK cells,7,213,0.0622825930655441,0.247353516590185,0.040034201606254,185,0.868544600938967
macrophage_rich,Macrophage-rich program,1,Monocytes and Macrophages,8,567,0.434927221681225,4.37482123010133,0.040034201606254,566,0.998236331569665
macrophage_rich,Macrophage-rich program,1,Others,9,46,0.114564759334078,0.826438619916195,0.040034201606254,45,0.978260869565217
t_cell_inflamed,T cell-inflamed program,2,B cells,1,3436,0.023842251916686,-1.24141730893673,0.408010657464806,8,0.00232828870779977
t_cell_inflamed,T cell-inflamed program,2,Plasma cells,2,102,0.0653282414135227,-1.02887547231003,0.408010657464806,1,0.00980392156862745
t_cell_inflamed,T cell-inflamed program,2,T cells CD4,3,3254,0.244586403603992,-0.110496533193877,0.408010657464806,38,0.0116779348494161
t_cell_inflamed,T cell-inflamed program,2,T cells CD8,4,5483,0.455454131033751,0.969825151712218,0.408010657464806,3467,0.632318074047055
t_cell_inflamed,T cell-inflamed program,2,Tregs,5,972,0.254878827840982,-0.0577661830876586,0.408010657464806,11,0.0113168724279835
t_cell_inflamed,T cell-inflamed program,2,TFH,6,295,0.2923781865385,0.134351268287139,0.408010657464806,18,0.0610169491525424
t_cell_inflamed,T cell-inflamed program,2,NK cells,7,213,0.329070892205156,0.322336059002775,0.408010657464806,44,0.206572769953052
t_cell_inflamed,T cell-inflamed program,2,Monocytes and Macrophages,8,567,0.0581286199917932,-1.06576071425679,0.408010657464806,3,0.00529100529100529
t_cell_inflamed,T cell-inflamed program,2,Others,9,46,0.115957518843412,-0.769490563270999,0.408010657464806,2,0.0434782608695652
antigen_presentation,Immune-inflamed / antigen-presentation program,3,B cells,1,3436,0.440488487903859,0.157234052020683,0.50467600085504,944,0.274738067520373
antigen_presentation,Immune-inflamed / antigen-presentation program,3,Plasma cells,2,102,0.490154164698218,0.534037618408934,0.50467600085504,62,0.607843137254902
antigen_presentation,Immune-inflamed / antigen-presentation program,3,T cells CD4,3,3254,0.312835837076074,-0.81124110417182,0.50467600085504,23,0.00706822372464659
antigen_presentation,Immune-inflamed / antigen-presentation program,3,T cells CD8,4,5483,0.441207139437159,0.162686317613662,0.50467600085504,1727,0.314973554623381
antigen_presentation,Immune-inflamed / antigen-presentation program,3,Tregs,5,972,0.409924978520321,-0.0746451869302273,0.50467600085504,192,0.197530864197531
antigen_presentation,Immune-inflamed / antigen-presentation program,3,TFH,6,295,0.397866747270936,-0.166128578124409,0.50467600085504,33,0.111864406779661
antigen_presentation,Immune-inflamed / antigen-presentation program,3,NK cells,7,213,0.374310028901332,-0.344848693644482,0.50467600085504,21,0.0985915492957746
antigen_presentation,Immune-inflamed / antigen-presentation program,3,Monocytes and Macrophages,8,567,0.718832841103584,2.26897704515349,0.50467600085504,546,0.962962962962963
antigen_presentation,Immune-inflamed / antigen-presentation program,3,Others,9,46,0.596120653601193,1.33798419708148,0.50467600085504,44,0.956521739130435
stromal_fibrotic,Stromal / fibrotic program,4,B cells,1,3436,0.023738420279539,-0.61859066476337,0.0512260665099094,36,0.010477299185099
stromal_fibrotic,Stromal / fibrotic program,4,Plasma cells,2,102,0.0424660962806352,0.124970326104786,0.0512260665099094,22,0.215686274509804
stromal_fibrotic,Stromal / fibrotic program,4,T cells CD4,3,3254,0.0465772408077881,0.288198625122405,0.0512260665099094,1089,0.334665027658267
stromal_fibrotic,Stromal / fibrotic program,4,T cells CD8,4,5483,0.0415547822881487,0.088787644644171,0.0512260665099094,1694,0.308954951668794
stromal_fibrotic,Stromal / fibrotic program,4,Tregs,5,972,0.0337474290045857,-0.221194402420507,0.0512260665099094,161,0.165637860082305
stromal_fibrotic,Stromal / fibrotic program,4,TFH,6,295,0.035601191052305,-0.147592897089295,0.0512260665099094,60,0.203389830508475
stromal_fibrotic,Stromal / fibrotic program,4,NK cells,7,213,0.0371138896570965,-0.0875329263060625,0.0512260665099094,56,0.262910798122066
stromal_fibrotic,Stromal / fibrotic program,4,Monocytes and Macrophages,8,567,0.0816459135236428,1.6805602310956,0.0512260665099094,460,0.811287477954145
stromal_fibrotic,Stromal / fibrotic program,4,Others,9,46,0.0461174007310328,0.26994119995694,0.0512260665099094,13,0.282608695652174
immune_cold_exclusion,Immune-cold / exclusion-associated program,5,B cells,1,3436,0.0351828921011631,-0.321411197260889,0.0642806974684704,580,0.168800931315483
immune_cold_exclusion,Immune-cold / exclusion-associated program,5,Plasma cells,2,102,0.0404629192196621,-0.147790002990213,0.0642806974684704,20,0.196078431372549
immune_cold_exclusion,Immune-cold / exclusion-associated program,5,T cells CD4,3,3254,0.0418215444706186,-0.103114827400503,0.0642806974684704,649,0.199446834665028
immune_cold_exclusion,Immune-cold / exclusion-associated program,5,T cells CD8,4,5483,0.0505887072667124,0.185172569777858,0.0642806974684704,1683,0.306948750683932
immune_cold_exclusion,Immune-cold / exclusion-associated program,5,Tregs,5,972,0.0437249867138271,-0.0405246345711426,0.0642806974684704,202,0.207818930041152
immune_cold_exclusion,Immune-cold / exclusion-associated program,5,TFH,6,295,0.0428802638409625,-0.0683013468347327,0.0642806974684704,72,0.24406779661017
immune_cold_exclusion,Immune-cold / exclusion-associated program,5,NK cells,7,213,0.0412204192879511,-0.122881406203716,0.0642806974684704,46,0.215962441314554
immune_cold_exclusion,Immune-cold / exclusion-associated program,5,Monocytes and Macrophages,8,567,0.072438667052932,0.903656779746863,0.0642806974684704,324,0.571428571428571
immune_cold_exclusion,Immune-cold / exclusion-associated program,5,Others,9,46,0.0535631541422314,0.282980214934252,0.0642806974684704,14,0.304347826086957
proliferative_cycling,Proliferative / cycling program,6,B cells,1,3436,0.0898465385644547,0.685764258370933,0.0323541087733228,1441,0.419383003492433
proliferative_cycling,Proliferative / cycling program,6,Plasma cells,2,102,0.0183519280616635,-0.224905559610325,0.0323541087733228,28,0.274509803921569
proliferative_cycling,Proliferative / cycling program,6,T cells CD4,3,3254,0.0147068793175835,-0.271334735921098,0.0323541087733228,514,0.157959434542102
proliferative_cycling,Proliferative / cycling program,6,T cells CD8,4,5483,0.0231533767795512,-0.163746621905581,0.0323541087733228,1268,0.231260258982309
proliferative_cycling,Proliferative / cycling program,6,Tregs,5,972,0.0170534422717829,-0.241445153428738,0.0323541087733228,182,0.187242798353909
proliferative_cycling,Proliferative / cycling program,6,TFH,6,295,0.0169835715317175,-0.242335139033109,0.0323541087733228,57,0.193220338983051
proliferative_cycling,Proliferative / cycling program,6,NK cells,7,213,0.0150629860944148,-0.266798789905611,0.0323541087733228,28,0.131455399061033
proliferative_cycling,Proliferative / cycling program,6,Monocytes and Macrophages,8,567,0.0099462777774277,-0.331973378576347,0.0323541087733228,43,0.0758377425044092
proliferative_cycling,Proliferative / cycling program,6,Others,9,46,0.0336721850391871,-0.0297622399246704,0.0323541087733228,30,0.652173913043478
