"balance_metric","distance_metric","correlation_method","n_combinations","correlation","interpretation_scope"
"median_abs_expression_smd","mean_matching_distance","PEARSON",54,0.957457129210328,"DESCRIPTIVE_QC_ONLY"
"median_abs_expression_smd","mean_matching_distance","SPEARMAN",54,0.931923003621117,"DESCRIPTIVE_QC_ONLY"
"median_abs_detection_smd","mean_matching_distance","PEARSON",54,0.299761716794544,"DESCRIPTIVE_QC_ONLY"
"median_abs_detection_smd","mean_matching_distance","SPEARMAN",54,0.438917476653326,"DESCRIPTIVE_QC_ONLY"
"p95_abs_expression_smd","mean_matching_distance","PEARSON",54,0.96147683612591,"DESCRIPTIVE_QC_ONLY"
"p95_abs_expression_smd","mean_matching_distance","SPEARMAN",54,0.938021726700972,"DESCRIPTIVE_QC_ONLY"
"p95_abs_detection_smd","mean_matching_distance","PEARSON",54,0.346850684136104,"DESCRIPTIVE_QC_ONLY"
"p95_abs_detection_smd","mean_matching_distance","SPEARMAN",54,0.530017152658662,"DESCRIPTIVE_QC_ONLY"
