"capture_area_id","role_family","program_id","endpoint","seed","permutations","empirical_p","status"
"GSM8500536_Cap.area3_DLBCL_V1","PRIMARY_DLBCL","immune_cold_exclusion","DEPTH_ADJUSTED_MORAN",23780805,9999,1e-04,"COMPLETE"
"GSM8500536_Cap.area3_DLBCL_V1","PRIMARY_DLBCL","immune_cold_exclusion","DEPTH_ADJUSTED_GEARY",23790805,9999,1e-04,"COMPLETE"
"GSM8500536_Cap.area3_DLBCL_V1","PRIMARY_DLBCL","proliferative_cycling","DEPTH_ADJUSTED_MORAN",23880805,9999,1e-04,"COMPLETE"
"GSM8500536_Cap.area3_DLBCL_V1","PRIMARY_DLBCL","proliferative_cycling","DEPTH_ADJUSTED_GEARY",23890805,9999,1e-04,"COMPLETE"
"GSM8500537_Cap.area4_DLBCL_V2","PRIMARY_DLBCL","macrophage_rich","DEPTH_ADJUSTED_MORAN",24380805,9999,1e-04,"COMPLETE"
"GSM8500537_Cap.area4_DLBCL_V2","PRIMARY_DLBCL","macrophage_rich","DEPTH_ADJUSTED_GEARY",24390805,9999,1e-04,"COMPLETE"
"GSM8500537_Cap.area4_DLBCL_V2","PRIMARY_DLBCL","t_cell_inflamed","DEPTH_ADJUSTED_MORAN",24480805,9999,1e-04,"COMPLETE"
"GSM8500537_Cap.area4_DLBCL_V2","PRIMARY_DLBCL","t_cell_inflamed","DEPTH_ADJUSTED_GEARY",24490805,9999,1e-04,"COMPLETE"
"GSM8500537_Cap.area4_DLBCL_V2","EXPLORATORY_ANTIGEN","antigen_presentation","DEPTH_ADJUSTED_MORAN",24580805,9999,1e-04,"COMPLETE"
"GSM8500537_Cap.area4_DLBCL_V2","EXPLORATORY_ANTIGEN","antigen_presentation","DEPTH_ADJUSTED_GEARY",24590805,9999,1e-04,"COMPLETE"
"GSM8500537_Cap.area4_DLBCL_V2","PRIMARY_DLBCL","stromal_fibrotic","DEPTH_ADJUSTED_MORAN",24680805,9999,1e-04,"COMPLETE"
"GSM8500537_Cap.area4_DLBCL_V2","PRIMARY_DLBCL","stromal_fibrotic","DEPTH_ADJUSTED_GEARY",24690805,9999,1e-04,"COMPLETE"
"GSM8500537_Cap.area4_DLBCL_V2","PRIMARY_DLBCL","immune_cold_exclusion","DEPTH_ADJUSTED_MORAN",24780805,9999,1e-04,"COMPLETE"
"GSM8500537_Cap.area4_DLBCL_V2","PRIMARY_DLBCL","immune_cold_exclusion","DEPTH_ADJUSTED_GEARY",24790805,9999,1e-04,"COMPLETE"
"GSM8500537_Cap.area4_DLBCL_V2","PRIMARY_DLBCL","proliferative_cycling","DEPTH_ADJUSTED_MORAN",24880805,9999,1e-04,"COMPLETE"
