"endpoint_type","role_family","family_label","expected_test_count","observed_valid_test_count","capture_area_id","program_id","raw_p","BH_FDR","evaluability","exclusion_failure_reason"
"MATCHED_NULL_MORAN","PRIMARY_DLBCL","06P_MATCHED_NULL_MORAN_PRIMARY_DLBCL_BH",26,26,"GSM8500540_Cap.area7_DLBCL_V2","macrophage_rich",0.000999000999000999,0.00185528756957328,"EVALUABLE",""
"MATCHED_NULL_MORAN","PRIMARY_DLBCL","06P_MATCHED_NULL_MORAN_PRIMARY_DLBCL_BH",26,26,"GSM8500540_Cap.area7_DLBCL_V2","t_cell_inflamed",0.000999000999000999,0.00185528756957328,"EVALUABLE",""
"MATCHED_NULL_MORAN","PRIMARY_DLBCL","06P_MATCHED_NULL_MORAN_PRIMARY_DLBCL_BH",26,26,"GSM8500540_Cap.area7_DLBCL_V2","stromal_fibrotic",0.0559440559440559,0.0632411067193676,"EVALUABLE",""
"MATCHED_NULL_MORAN","PRIMARY_DLBCL","06P_MATCHED_NULL_MORAN_PRIMARY_DLBCL_BH",26,26,"GSM8500540_Cap.area7_DLBCL_V2","immune_cold_exclusion",0.112887112887113,0.122294372294372,"EVALUABLE",""
"MATCHED_NULL_MORAN","PRIMARY_DLBCL","06P_MATCHED_NULL_MORAN_PRIMARY_DLBCL_BH",26,26,"GSM8500540_Cap.area7_DLBCL_V2","proliferative_cycling",0.034965034965035,0.0432900432900433,"EVALUABLE",""
"MATCHED_NULL_MORAN","EXPLORATORY_ANTIGEN","06P_MATCHED_NULL_MORAN_EXPLORATORY_ANTIGEN_BH",6,6,"GSM8500537_Cap.area4_DLBCL_V2","antigen_presentation",0.002997002997003,0.00799200799200799,"EVALUABLE",""
"MATCHED_NULL_MORAN","EXPLORATORY_ANTIGEN","06P_MATCHED_NULL_MORAN_EXPLORATORY_ANTIGEN_BH",6,6,"GSM8500538_Cap.area5_DLBCL_V2","antigen_presentation",0.000999000999000999,0.00599400599400599,"EVALUABLE",""
"MATCHED_NULL_MORAN","EXPLORATORY_ANTIGEN","06P_MATCHED_NULL_MORAN_EXPLORATORY_ANTIGEN_BH",6,6,"GSM8500539_Cap.area6_DLBCL_V2","antigen_presentation",0.003996003996004,0.00799200799200799,"EVALUABLE",""
"MATCHED_NULL_MORAN","EXPLORATORY_ANTIGEN","06P_MATCHED_NULL_MORAN_EXPLORATORY_ANTIGEN_BH",6,6,"GSM8500540_Cap.area7_DLBCL_V2","antigen_presentation",0.018981018981019,0.0275724275724276,"EVALUABLE",""
"MATCHED_NULL_MORAN","EXPLORATORY_ANTIGEN","06P_MATCHED_NULL_MORAN_EXPLORATORY_ANTIGEN_BH",6,6,"GSM8500541_Cap.area8_LN_V2","antigen_presentation",0.048951048951049,0.048951048951049,"EVALUABLE",""
