"capture_area_id","area_role","program_id","eligibility","Moran_I","Moran_p","Geary_C","Geary_p","SCT_UCell_Moran_I","ssGSEA_Moran_I","SCT_direction_concordant","ssGSEA_direction_concordant","permutations","bh_family","Moran_FDR","Geary_FDR"
"GSM8500537_Cap.area4_DLBCL_V2","PRIMARY_DLBCL","stromal_fibrotic","PRIMARY_ELIGIBLE",0.928054784164834,1e-04,0.077830236747328,1e-04,0.943981230709504,0.83740531372557,TRUE,TRUE,9999,"MORAN_PRIMARY_DLBCL",1e-04,1e-04
"GSM8500537_Cap.area4_DLBCL_V2","PRIMARY_DLBCL","immune_cold_exclusion","PRIMARY_ELIGIBLE",0.834555781550681,1e-04,0.171648151905912,1e-04,0.8572725173144,0.640961326177107,TRUE,TRUE,9999,"MORAN_PRIMARY_DLBCL",1e-04,1e-04
"GSM8500537_Cap.area4_DLBCL_V2","PRIMARY_DLBCL","proliferative_cycling","PRIMARY_ELIGIBLE",0.892977810981768,1e-04,0.138314214236142,1e-04,0.90705940175022,0.873218997896717,TRUE,TRUE,9999,"MORAN_PRIMARY_DLBCL",1e-04,1e-04
"GSM8500538_Cap.area5_DLBCL_V2","PRIMARY_DLBCL","macrophage_rich","PRIMARY_ELIGIBLE",0.687014223126754,1e-04,0.256481845247737,1e-04,0.646714529737076,0.612458347389588,TRUE,TRUE,9999,"MORAN_PRIMARY_DLBCL",1e-04,1e-04
"GSM8500538_Cap.area5_DLBCL_V2","PRIMARY_DLBCL","t_cell_inflamed","PRIMARY_ELIGIBLE",0.871041537004529,1e-04,0.130071665293432,1e-04,0.892635373254919,0.857728629566473,TRUE,TRUE,9999,"MORAN_PRIMARY_DLBCL",1e-04,1e-04
"GSM8500538_Cap.area5_DLBCL_V2","PRIMARY_DLBCL","antigen_presentation","EXPLORATORY_ONLY",0.826777362479832,1e-04,0.157566170791512,1e-04,0.850441997647872,0.709668626952367,TRUE,TRUE,9999,"MORAN_EXPLORATORY_ANTIGEN",1e-04,1e-04
"GSM8500538_Cap.area5_DLBCL_V2","PRIMARY_DLBCL","stromal_fibrotic","PRIMARY_ELIGIBLE",0.596134177399423,1e-04,0.336828719537229,1e-04,0.553833340631359,0.579187347123709,TRUE,TRUE,9999,"MORAN_PRIMARY_DLBCL",1e-04,1e-04
"GSM8500538_Cap.area5_DLBCL_V2","PRIMARY_DLBCL","immune_cold_exclusion","PRIMARY_ELIGIBLE",0.570652945528594,1e-04,0.343515567039677,1e-04,0.550613603035151,0.557398614723694,TRUE,TRUE,9999,"MORAN_PRIMARY_DLBCL",1e-04,1e-04
"GSM8500538_Cap.area5_DLBCL_V2","PRIMARY_DLBCL","proliferative_cycling","PRIMARY_ELIGIBLE",0.835916888017731,1e-04,0.142075726489806,1e-04,0.873162417578626,0.717219178003673,TRUE,TRUE,9999,"MORAN_PRIMARY_DLBCL",1e-04,1e-04
"GSM8500539_Cap.area6_DLBCL_V2","PRIMARY_DLBCL","macrophage_rich","PRIMARY_ELIGIBLE",0.457475213228233,1e-04,0.535097737579699,1e-04,0.460146955813663,0.434369821032546,TRUE,TRUE,9999,"MORAN_PRIMARY_DLBCL",1e-04,1e-04
"GSM8500539_Cap.area6_DLBCL_V2","PRIMARY_DLBCL","t_cell_inflamed","PRIMARY_ELIGIBLE",0.0900944847773603,1e-04,0.907902251686676,1e-04,0.0772815772320604,0.281654585135024,TRUE,TRUE,9999,"MORAN_PRIMARY_DLBCL",1e-04,1e-04
"GSM8500539_Cap.area6_DLBCL_V2","PRIMARY_DLBCL","antigen_presentation","EXPLORATORY_ONLY",0.197563822573266,1e-04,0.802895933943763,1e-04,0.151811748868329,0.184813581165208,TRUE,TRUE,9999,"MORAN_EXPLORATORY_ANTIGEN",1e-04,1e-04
"GSM8500539_Cap.area6_DLBCL_V2","PRIMARY_DLBCL","stromal_fibrotic","PRIMARY_ELIGIBLE",0.576207621839042,1e-04,0.419324060774722,1e-04,0.587313827887939,0.513413303508987,TRUE,TRUE,9999,"MORAN_PRIMARY_DLBCL",1e-04,1e-04
"GSM8500539_Cap.area6_DLBCL_V2","PRIMARY_DLBCL","immune_cold_exclusion","PRIMARY_ELIGIBLE",0.458568478891311,1e-04,0.539852300202085,1e-04,0.489520212830842,0.233636778173178,TRUE,TRUE,9999,"MORAN_PRIMARY_DLBCL",1e-04,1e-04
"GSM8500539_Cap.area6_DLBCL_V2","PRIMARY_DLBCL","proliferative_cycling","PRIMARY_ELIGIBLE",0.365096506163639,1e-04,0.624629260816953,1e-04,0.31892599321183,0.472503112669578,TRUE,TRUE,9999,"MORAN_PRIMARY_DLBCL",1e-04,1e-04
"GSM8500540_Cap.area7_DLBCL_V2","PRIMARY_DLBCL","macrophage_rich","PRIMARY_ELIGIBLE",0.533843096867442,1e-04,0.465467296484021,1e-04,0.48803918638336,0.351327028600095,TRUE,TRUE,9999,"MORAN_PRIMARY_DLBCL",1e-04,1e-04
"GSM8500540_Cap.area7_DLBCL_V2","PRIMARY_DLBCL","t_cell_inflamed","PRIMARY_ELIGIBLE",0.530787186924216,1e-04,0.471642111840104,1e-04,0.480230176864755,0.451331544610439,TRUE,TRUE,9999,"MORAN_PRIMARY_DLBCL",1e-04,1e-04
"GSM8500540_Cap.area7_DLBCL_V2","PRIMARY_DLBCL","antigen_presentation","EXPLORATORY_ONLY",0.47495169330314,1e-04,0.519538947878672,1e-04,0.328476812987798,0.352178594312371,TRUE,TRUE,9999,"MORAN_EXPLORATORY_ANTIGEN",1e-04,1e-04
"GSM8500540_Cap.area7_DLBCL_V2","PRIMARY_DLBCL","stromal_fibrotic","PRIMARY_ELIGIBLE",0.245233430214157,1e-04,0.756997172567227,1e-04,0.227632549732332,0.251411400390061,TRUE,TRUE,9999,"MORAN_PRIMARY_DLBCL",1e-04,1e-04
"GSM8500540_Cap.area7_DLBCL_V2","PRIMARY_DLBCL","immune_cold_exclusion","PRIMARY_ELIGIBLE",0.130028453075094,1e-04,0.875532338644696,1e-04,0.116088146025724,0.18976931535976,TRUE,TRUE,9999,"MORAN_PRIMARY_DLBCL",1e-04,1e-04
"GSM8500540_Cap.area7_DLBCL_V2","PRIMARY_DLBCL","proliferative_cycling","PRIMARY_ELIGIBLE",0.239054270470295,1e-04,0.758756772625359,1e-04,0.224540019794093,0.423381176152987,TRUE,TRUE,9999,"MORAN_PRIMARY_DLBCL",1e-04,1e-04
"GSM8500541_Cap.area8_LN_V2","CONTEXT_ONLY","macrophage_rich","CONTEXT_PRIMARY_COVERAGE",0.609848077044898,1e-04,0.390358222828737,1e-04,0.584961182699168,0.576403327740898,TRUE,TRUE,9999,"MORAN_CONTEXT",1e-04,1e-04
"GSM8500541_Cap.area8_LN_V2","CONTEXT_ONLY","t_cell_inflamed","CONTEXT_PRIMARY_COVERAGE",0.58608596426358,1e-04,0.396932161420836,1e-04,0.528764257481064,0.434030395478307,TRUE,TRUE,9999,"MORAN_CONTEXT",1e-04,1e-04
"GSM8500541_Cap.area8_LN_V2","CONTEXT_ONLY","antigen_presentation","EXPLORATORY_ONLY",0.310845309377691,1e-04,0.681367665727966,1e-04,0.159696315685789,0.276676980569631,TRUE,TRUE,9999,"MORAN_CONTEXT",1e-04,1e-04
"GSM8500541_Cap.area8_LN_V2","CONTEXT_ONLY","stromal_fibrotic","CONTEXT_PRIMARY_COVERAGE",0.481674116173793,1e-04,0.46256868388403,1e-04,0.498837940586131,0.452418147098897,TRUE,TRUE,9999,"MORAN_CONTEXT",1e-04,1e-04
"GSM8500541_Cap.area8_LN_V2","CONTEXT_ONLY","immune_cold_exclusion","CONTEXT_PRIMARY_COVERAGE",0.265479219927047,1e-04,0.692533213638355,1e-04,0.293283417038003,0.297961246829629,TRUE,TRUE,9999,"MORAN_CONTEXT",1e-04,1e-04
"GSM8500541_Cap.area8_LN_V2","CONTEXT_ONLY","proliferative_cycling","CONTEXT_PRIMARY_COVERAGE",0.364832988949781,1e-04,0.647505041037043,1e-04,0.383107239054422,0.422680081340864,TRUE,TRUE,9999,"MORAN_CONTEXT",1e-04,1e-04
"GSM8500542_Cap.area9_tonsil_V2","CONTEXT_ONLY","macrophage_rich","CONTEXT_PRIMARY_COVERAGE",0.477146744054948,1e-04,0.52201014511783,1e-04,0.48098648928914,0.596149834619984,TRUE,TRUE,9999,"MORAN_CONTEXT",1e-04,1e-04
"GSM8500542_Cap.area9_tonsil_V2","CONTEXT_ONLY","t_cell_inflamed","CONTEXT_PRIMARY_COVERAGE",0.776431489894663,1e-04,0.226799708711106,1e-04,0.777176709910857,0.714215560869361,TRUE,TRUE,9999,"MORAN_CONTEXT",1e-04,1e-04
"GSM8500542_Cap.area9_tonsil_V2","CONTEXT_ONLY","antigen_presentation","EXPLORATORY_ONLY",0.470557299803134,1e-04,0.523500474601915,1e-04,0.466449203761112,0.507988186969808,TRUE,TRUE,9999,"MORAN_CONTEXT",1e-04,1e-04
"GSM8500542_Cap.area9_tonsil_V2","CONTEXT_ONLY","stromal_fibrotic","CONTEXT_PRIMARY_COVERAGE",0.659510213314853,1e-04,0.337748344327832,1e-04,0.662615273744857,0.68519001370137,TRUE,TRUE,9999,"MORAN_CONTEXT",1e-04,1e-04
"GSM8500542_Cap.area9_tonsil_V2","CONTEXT_ONLY","immune_cold_exclusion","CONTEXT_PRIMARY_COVERAGE",0.598925683733582,1e-04,0.395247589240621,1e-04,0.607714203506777,0.483308712325473,TRUE,TRUE,9999,"MORAN_CONTEXT",1e-04,1e-04
"GSM8500542_Cap.area9_tonsil_V2","CONTEXT_ONLY","proliferative_cycling","CONTEXT_PRIMARY_COVERAGE",0.754175881229437,1e-04,0.249865825166241,1e-04,0.754148180126514,0.740013626953069,TRUE,TRUE,9999,"MORAN_CONTEXT",1e-04,1e-04
