"capture_area_id","comparison","program_id","n_spots","spearman_rho","pearson_r"
"GSM8500537_Cap.area4_DLBCL_V2","PRIMARY_vs_SCT_UCell","immune_cold_exclusion",1723,0.978728509863416,0.986413674905524
"GSM8500537_Cap.area4_DLBCL_V2","PRIMARY_vs_SCT_UCell","proliferative_cycling",1723,0.974459196227254,0.990746728135223
"GSM8500537_Cap.area4_DLBCL_V2","PRIMARY_vs_ssGSEA","macrophage_rich",1723,0.919661742174602,0.921023565924797
"GSM8500537_Cap.area4_DLBCL_V2","PRIMARY_vs_ssGSEA","t_cell_inflamed",1723,0.857107623910943,0.856982876588869
"GSM8500537_Cap.area4_DLBCL_V2","PRIMARY_vs_ssGSEA","antigen_presentation",1723,0.950300317079655,0.910683489107301
"GSM8500537_Cap.area4_DLBCL_V2","PRIMARY_vs_ssGSEA","stromal_fibrotic",1723,0.910540490628879,0.892331354387091
"GSM8500537_Cap.area4_DLBCL_V2","PRIMARY_vs_ssGSEA","immune_cold_exclusion",1723,0.809266025886878,0.791653163434415
"GSM8500537_Cap.area4_DLBCL_V2","PRIMARY_vs_ssGSEA","proliferative_cycling",1723,0.906884031244291,0.893059744949085
"GSM8500538_Cap.area5_DLBCL_V2","PRIMARY_vs_SCT_UCell","macrophage_rich",1827,0.879071124625317,0.836894294622986
"GSM8500538_Cap.area5_DLBCL_V2","PRIMARY_vs_SCT_UCell","t_cell_inflamed",1827,0.95475868987122,0.989468750639281
"GSM8500538_Cap.area5_DLBCL_V2","PRIMARY_vs_SCT_UCell","antigen_presentation",1827,0.862694711069197,0.925959350452822
"GSM8500538_Cap.area5_DLBCL_V2","PRIMARY_vs_SCT_UCell","stromal_fibrotic",1827,0.868868708653887,0.812491464925566
"GSM8500538_Cap.area5_DLBCL_V2","PRIMARY_vs_SCT_UCell","immune_cold_exclusion",1827,0.858566937487237,0.815543173018136
"GSM8500538_Cap.area5_DLBCL_V2","PRIMARY_vs_SCT_UCell","proliferative_cycling",1827,0.948976896396535,0.911982197766837
"GSM8500538_Cap.area5_DLBCL_V2","PRIMARY_vs_ssGSEA","macrophage_rich",1827,0.848484361948344,0.865898964955248
"GSM8500538_Cap.area5_DLBCL_V2","PRIMARY_vs_ssGSEA","t_cell_inflamed",1827,0.816523411936346,0.899776736893509
"GSM8500538_Cap.area5_DLBCL_V2","PRIMARY_vs_ssGSEA","antigen_presentation",1827,0.921418881325982,0.883100975987092
"GSM8500538_Cap.area5_DLBCL_V2","PRIMARY_vs_ssGSEA","stromal_fibrotic",1827,0.822327896086005,0.844875689316475
"GSM8500538_Cap.area5_DLBCL_V2","PRIMARY_vs_ssGSEA","immune_cold_exclusion",1827,0.672076232700093,0.733502633360419
"GSM8500538_Cap.area5_DLBCL_V2","PRIMARY_vs_ssGSEA","proliferative_cycling",1827,0.900038137939376,0.869418957936773
"GSM8500539_Cap.area6_DLBCL_V2","PRIMARY_vs_SCT_UCell","macrophage_rich",4992,0.990694092747422,0.99126705300976
"GSM8500539_Cap.area6_DLBCL_V2","PRIMARY_vs_SCT_UCell","t_cell_inflamed",4992,0.943653994016294,0.927332006085079
"GSM8500539_Cap.area6_DLBCL_V2","PRIMARY_vs_SCT_UCell","antigen_presentation",4992,0.959808880096647,0.933378726065583
"GSM8500539_Cap.area6_DLBCL_V2","PRIMARY_vs_SCT_UCell","stromal_fibrotic",4992,0.990707779007767,0.990802035156725
"GSM8500539_Cap.area6_DLBCL_V2","PRIMARY_vs_SCT_UCell","immune_cold_exclusion",4992,0.978175050970538,0.970134277329148
"GSM8500539_Cap.area6_DLBCL_V2","PRIMARY_vs_SCT_UCell","proliferative_cycling",4992,0.928859575092398,0.913549054433622
"GSM8500539_Cap.area6_DLBCL_V2","PRIMARY_vs_ssGSEA","macrophage_rich",4992,0.735560899824913,0.739555476293256
"GSM8500539_Cap.area6_DLBCL_V2","PRIMARY_vs_ssGSEA","t_cell_inflamed",4992,0.190400321375305,0.305140702477768
"GSM8500539_Cap.area6_DLBCL_V2","PRIMARY_vs_ssGSEA","antigen_presentation",4992,0.378360532921127,0.447364973460488
"GSM8500539_Cap.area6_DLBCL_V2","PRIMARY_vs_ssGSEA","stromal_fibrotic",4992,0.849466463697395,0.824358181639747
"GSM8500539_Cap.area6_DLBCL_V2","PRIMARY_vs_ssGSEA","immune_cold_exclusion",4992,0.512293933094476,0.542077123417755
"GSM8500539_Cap.area6_DLBCL_V2","PRIMARY_vs_ssGSEA","proliferative_cycling",4992,0.583028040845856,0.615902440389244
"GSM8500540_Cap.area7_DLBCL_V2","PRIMARY_vs_SCT_UCell","macrophage_rich",4992,0.981764539606735,0.972860017391781
"GSM8500540_Cap.area7_DLBCL_V2","PRIMARY_vs_SCT_UCell","t_cell_inflamed",4992,0.9682014689392,0.968394364144822
"GSM8500540_Cap.area7_DLBCL_V2","PRIMARY_vs_SCT_UCell","antigen_presentation",4992,0.941539347175717,0.921951481361233
"GSM8500540_Cap.area7_DLBCL_V2","PRIMARY_vs_SCT_UCell","stromal_fibrotic",4992,0.972328955587708,0.978047574392764
"GSM8500540_Cap.area7_DLBCL_V2","PRIMARY_vs_SCT_UCell","immune_cold_exclusion",4992,0.968387132391417,0.97274168317883
"GSM8500540_Cap.area7_DLBCL_V2","PRIMARY_vs_SCT_UCell","proliferative_cycling",4992,0.982083120031523,0.982111772663129
"GSM8500540_Cap.area7_DLBCL_V2","PRIMARY_vs_ssGSEA","macrophage_rich",4992,0.737438436470337,0.746453274876207
"GSM8500540_Cap.area7_DLBCL_V2","PRIMARY_vs_ssGSEA","t_cell_inflamed",4992,0.682056374606167,0.677417586559515
"GSM8500540_Cap.area7_DLBCL_V2","PRIMARY_vs_ssGSEA","antigen_presentation",4992,0.904306278027758,0.828586222018566
"GSM8500540_Cap.area7_DLBCL_V2","PRIMARY_vs_ssGSEA","stromal_fibrotic",4992,0.553831503407199,0.601443306286014
"GSM8500540_Cap.area7_DLBCL_V2","PRIMARY_vs_ssGSEA","immune_cold_exclusion",4992,0.433917503986664,0.452878213094553
"GSM8500540_Cap.area7_DLBCL_V2","PRIMARY_vs_ssGSEA","proliferative_cycling",4992,0.593846233785795,0.604965339137652
"GSM8500541_Cap.area8_LN_V2","PRIMARY_vs_SCT_UCell","macrophage_rich",4674,0.958618170413792,0.977433981878664
"GSM8500541_Cap.area8_LN_V2","PRIMARY_vs_SCT_UCell","t_cell_inflamed",4674,0.939691870212242,0.926473429161008
"GSM8500541_Cap.area8_LN_V2","PRIMARY_vs_SCT_UCell","antigen_presentation",4674,0.896576777211064,0.884782490083
"GSM8500541_Cap.area8_LN_V2","PRIMARY_vs_SCT_UCell","stromal_fibrotic",4674,0.954021110133182,0.968101446872429
"GSM8500541_Cap.area8_LN_V2","PRIMARY_vs_SCT_UCell","immune_cold_exclusion",4674,0.910327885444929,0.911012895304703
"GSM8500541_Cap.area8_LN_V2","PRIMARY_vs_SCT_UCell","proliferative_cycling",4674,0.954253857465572,0.98198559159503
"GSM8500541_Cap.area8_LN_V2","PRIMARY_vs_ssGSEA","macrophage_rich",4674,0.8629967678533,0.847300025739413
"GSM8500541_Cap.area8_LN_V2","PRIMARY_vs_ssGSEA","t_cell_inflamed",4674,0.718636537752995,0.755851158795836
"GSM8500541_Cap.area8_LN_V2","PRIMARY_vs_ssGSEA","antigen_presentation",4674,0.65600341923153,0.689335785791694
"GSM8500541_Cap.area8_LN_V2","PRIMARY_vs_ssGSEA","stromal_fibrotic",4674,0.729946826943212,0.746342874806154
"GSM8500541_Cap.area8_LN_V2","PRIMARY_vs_ssGSEA","immune_cold_exclusion",4674,0.555290329136408,0.583620931396437
"GSM8500541_Cap.area8_LN_V2","PRIMARY_vs_ssGSEA","proliferative_cycling",4674,0.473824072205155,0.706195722276517
"GSM8500542_Cap.area9_tonsil_V2","PRIMARY_vs_SCT_UCell","macrophage_rich",4923,0.976010348036656,0.981839141810558
"GSM8500542_Cap.area9_tonsil_V2","PRIMARY_vs_SCT_UCell","t_cell_inflamed",4923,0.987901165602952,0.992885749340037
"GSM8500542_Cap.area9_tonsil_V2","PRIMARY_vs_SCT_UCell","antigen_presentation",4923,0.943084994968772,0.950101944030107
"GSM8500542_Cap.area9_tonsil_V2","PRIMARY_vs_SCT_UCell","stromal_fibrotic",4923,0.991164260316066,0.99510477459054
"GSM8500542_Cap.area9_tonsil_V2","PRIMARY_vs_SCT_UCell","immune_cold_exclusion",4923,0.98808920886688,0.987615241778673
"GSM8500542_Cap.area9_tonsil_V2","PRIMARY_vs_SCT_UCell","proliferative_cycling",4923,0.983791546718842,0.998303221743974
"GSM8500542_Cap.area9_tonsil_V2","PRIMARY_vs_ssGSEA","macrophage_rich",4923,0.789681661705094,0.75377782727963
"GSM8500542_Cap.area9_tonsil_V2","PRIMARY_vs_ssGSEA","t_cell_inflamed",4923,0.891701146258588,0.875914033494294
"GSM8500542_Cap.area9_tonsil_V2","PRIMARY_vs_ssGSEA","antigen_presentation",4923,0.777534786276522,0.794932894243379
"GSM8500542_Cap.area9_tonsil_V2","PRIMARY_vs_ssGSEA","stromal_fibrotic",4923,0.897482808385858,0.880638110189769
"GSM8500542_Cap.area9_tonsil_V2","PRIMARY_vs_ssGSEA","immune_cold_exclusion",4923,0.781019650836116,0.768939341474702
"GSM8500542_Cap.area9_tonsil_V2","PRIMARY_vs_ssGSEA","proliferative_cycling",4923,0.870034828730313,0.877166761960636
