"capture_area","capture_area_id","source","status","spot_count","raw_expression_reread","area_rerun"
"Cap.area1","GSM8500534_Cap.area1_LN_V1","V2_REUSED_COMPLETE","COMPLETE",3384,FALSE,FALSE
"Cap.area2","GSM8500535_Cap.area2_tonsil_V1","V3_RECOMPUTED_COMPLETE","COMPLETE",3318,FALSE,FALSE
"Cap.area3","GSM8500536_Cap.area3_DLBCL_V1","V3_RECOMPUTED_COMPLETE","COMPLETE",1197,FALSE,FALSE
"Cap.area4","GSM8500537_Cap.area4_DLBCL_V2","V3_RECOMPUTED_COMPLETE","COMPLETE",1723,FALSE,FALSE
"Cap.area5","GSM8500538_Cap.area5_DLBCL_V2","V3_RECOMPUTED_COMPLETE","COMPLETE",1827,FALSE,FALSE
"Cap.area6","GSM8500539_Cap.area6_DLBCL_V2","V3_RECOMPUTED_COMPLETE","COMPLETE",4992,FALSE,FALSE
"Cap.area7","GSM8500540_Cap.area7_DLBCL_V2","V3_RECOMPUTED_COMPLETE","COMPLETE",4992,FALSE,FALSE
"Cap.area8","GSM8500541_Cap.area8_LN_V2","V3_RECOMPUTED_COMPLETE","COMPLETE",4674,FALSE,FALSE
"Cap.area9","GSM8500542_Cap.area9_tonsil_V2","V3_RECOMPUTED_COMPLETE","COMPLETE",4923,FALSE,FALSE
