normalized_program_name,historical_program_name,gene_symbol,membership_index,source_workbook,source_sheet,source_excel_row
T cell-inflamed program,T cell-inflamed niche,PRF1,11,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,36
T cell-inflamed program,T cell-inflamed niche,NKG7,12,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,37
T cell-inflamed program,T cell-inflamed niche,GNLY,13,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,38
T cell-inflamed program,T cell-inflamed niche,CCL5,14,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,39
T cell-inflamed program,T cell-inflamed niche,CXCL9,15,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,40
T cell-inflamed program,T cell-inflamed niche,CXCL10,16,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,41
T cell-inflamed program,T cell-inflamed niche,IFNG,17,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,42
T cell-inflamed program,T cell-inflamed niche,LCK,18,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,43
T cell-inflamed program,T cell-inflamed niche,ZAP70,19,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,44
T cell-inflamed program,T cell-inflamed niche,IL7R,20,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,45
T cell-inflamed program,T cell-inflamed niche,CXCR3,21,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,46
T cell-inflamed program,T cell-inflamed niche,PDCD1,22,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,47
Immune-inflamed / antigen-presentation program,Immune-inflamed / antigen-presentation niche,HLA-DRA,1,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,48
Immune-inflamed / antigen-presentation program,Immune-inflamed / antigen-presentation niche,HLA-DRB1,2,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,49
Immune-inflamed / antigen-presentation program,Immune-inflamed / antigen-presentation niche,HLA-DPA1,3,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,50
Immune-inflamed / antigen-presentation program,Immune-inflamed / antigen-presentation niche,HLA-DPB1,4,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,51
Immune-inflamed / antigen-presentation program,Immune-inflamed / antigen-presentation niche,HLA-DQA1,5,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,52
Immune-inflamed / antigen-presentation program,Immune-inflamed / antigen-presentation niche,HLA-DQB1,6,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,53
Immune-inflamed / antigen-presentation program,Immune-inflamed / antigen-presentation niche,HLA-A,7,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,54
Immune-inflamed / antigen-presentation program,Immune-inflamed / antigen-presentation niche,HLA-B,8,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,55
Immune-inflamed / antigen-presentation program,Immune-inflamed / antigen-presentation niche,HLA-C,9,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,56
Immune-inflamed / antigen-presentation program,Immune-inflamed / antigen-presentation niche,B2M,10,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,57
Immune-inflamed / antigen-presentation program,Immune-inflamed / antigen-presentation niche,TAP1,11,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,58
Immune-inflamed / antigen-presentation program,Immune-inflamed / antigen-presentation niche,TAP2,12,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,59
Immune-inflamed / antigen-presentation program,Immune-inflamed / antigen-presentation niche,PSMB8,13,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,60
Immune-inflamed / antigen-presentation program,Immune-inflamed / antigen-presentation niche,PSMB9,14,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,61
Immune-inflamed / antigen-presentation program,Immune-inflamed / antigen-presentation niche,STAT1,15,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,62
Immune-inflamed / antigen-presentation program,Immune-inflamed / antigen-presentation niche,IRF1,16,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,63
Immune-inflamed / antigen-presentation program,Immune-inflamed / antigen-presentation niche,GBP1,17,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,64
Immune-inflamed / antigen-presentation program,Immune-inflamed / antigen-presentation niche,GBP5,18,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,65
Immune-inflamed / antigen-presentation program,Immune-inflamed / antigen-presentation niche,CXCL9,19,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,66
Immune-inflamed / antigen-presentation program,Immune-inflamed / antigen-presentation niche,CXCL10,20,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,67
Immune-inflamed / antigen-presentation program,Immune-inflamed / antigen-presentation niche,CD74,21,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,68
Immune-inflamed / antigen-presentation program,Immune-inflamed / antigen-presentation niche,CIITA,22,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,69
Stromal / fibrotic program,Stromal/fibrotic niche,COL1A1,1,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,70
Stromal / fibrotic program,Stromal/fibrotic niche,COL1A2,2,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,71
Stromal / fibrotic program,Stromal/fibrotic niche,COL3A1,3,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,72
Stromal / fibrotic program,Stromal/fibrotic niche,COL6A1,4,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,73
Stromal / fibrotic program,Stromal/fibrotic niche,FN1,5,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,74
Stromal / fibrotic program,Stromal/fibrotic niche,DCN,6,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,75
Stromal / fibrotic program,Stromal/fibrotic niche,LUM,7,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,76
Stromal / fibrotic program,Stromal/fibrotic niche,SPARC,8,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,77
Stromal / fibrotic program,Stromal/fibrotic niche,VIM,9,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,78
Stromal / fibrotic program,Stromal/fibrotic niche,ACTA2,10,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,79
Stromal / fibrotic program,Stromal/fibrotic niche,TAGLN,11,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,80
Stromal / fibrotic program,Stromal/fibrotic niche,PDGFRB,12,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,81
Stromal / fibrotic program,Stromal/fibrotic niche,CXCL12,13,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,82
Stromal / fibrotic program,Stromal/fibrotic niche,THY1,14,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,83
Stromal / fibrotic program,Stromal/fibrotic niche,FAP,15,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,84
Stromal / fibrotic program,Stromal/fibrotic niche,MMP2,16,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,85
Stromal / fibrotic program,Stromal/fibrotic niche,MMP9,17,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,86
Stromal / fibrotic program,Stromal/fibrotic niche,TIMP1,18,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,87
Stromal / fibrotic program,Stromal/fibrotic niche,LOX,19,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,88
Stromal / fibrotic program,Stromal/fibrotic niche,POSTN,20,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,89
Stromal / fibrotic program,Stromal/fibrotic niche,VCAN,21,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,90
Stromal / fibrotic program,Stromal/fibrotic niche,PECAM1,22,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,91
